  386203 5.947165489196777  2.43424391746521    2.2896516323089611413365316461242 5 5342 2100000 1 0 0 0 0 0 1 0 0 0 033312 164553332333444234 44111 2 4 33 3 3 3 2264 666001010243000100 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 6411111 11621100000100100000000132431 3 3 33 333300000000000000000
  397203 4.9172849655151371.1353578567504883   3.65440511703491212413365426361241 5 5351 2000001 0 0 1 0 1 0 0 0 0 0 111424 665552311433424233 33331 1 4 33 3 4 2 1214 666000010252001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1324112 22442600000101100000000122322 4 3 43 433400000000000000000
  441203 5.4019241333007812.0445008277893066  3.241600036621093812312265266442341 5 5251 4100000 0 0 1 0 1 0 0 0 1 0 033622 165553233444423234 43111 4 4 12 3 4 2 2222 166011110252001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1312661 23441400000111100000000132223 3 3 44 344400000000000000000
  453203 4.8290657997131352.3329756259918213  3.356185674667358412422265226561541 5 5341 1001000 0 0 1 0 0 0 1 1 1 0 013612 662551114121111113 43313 2 4 23 2 4 2 1264 466000010242000100 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 6411111 21623600000100100000000131213 3 3 32 323400010000000000001
  455403 3.506335973739624 1.217730164527893  2.400492906570434613423326226332142 6 6231 1100000 0 0 0 0 1 0 0 0 0 0 122155 265553311344323244 34111 1 2 33 3 2 2 1214 466111110252001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6431261 11636600000110010000000133213 4 4 44 443400000000000000000
  4592033.02552795410156251.1533843278884888  1.706905961036682111423365226262631 4 4241 2010010 0 1 1 0 1 0 1 0 1 0 011613 562232211122222112 22111 1 4 13 3 3 3 1224 433000100233100000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 5321661 42321200000110000000000122112 3 2 33 331300000000000000000
  4654121.2236689329147339  4.34135103225708  -.296230554580688511431165226232621 3 3233 3100000 1 0 0 0 0 0 0 0 0 0 122222 213323211234232112 23111 1 4 13 4 3 3 2214 466000010232000100 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 6411111 12411300000111000000000131331 3 3 44 442400000000000000000
  513203  8.13997745513916 7.341415882110596  2.139884233474731411312265225623332 5 5343 1100000 1 0 0 0 0 0 0 1 0 0 012624 263231112334434243 43333 4 3 34 4 3 2 1324 466001000252000100 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2211261 11544600000100100000000122213 3 3 33 343400000000000000000
  51640214.471739768981934 39.27816390991211   2.09013199806213411523365223231341 4 4233 2100000 0 0 1 0 1 0 0 0 0 0 144333 554553333444424344 13333 4 3 14 3 2 4 1223 536000010222001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2311111 22331310000000100000000122324 3 3 33 343400000000000000000
  527313 2.3386063575744633.2344517707824707 -.4070789217948913621413365246431131 5 5154 1100000 0 0 1 0 0 0 0 1 1 0 012326 613311111333223222 43333 4 4 13 3 3 2 2341 162000110252000100 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1311262 32451500100010100000000122221 3 3 32 321200010000000000001
  54130110.702179908752441 7.485100746154785  1.938216805458068826421116123362411 6 5552 1100000 0 1 1 0 0 0 0 1 0 0 033633 365553343443433243 32313 2 4 12 3 3 2 1214 622000110252000100 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2311261 21421300000100100000000132322 4 3 33 321300000000000000000
  54221212.18165683746337910.752290725708008  1.960074901580810511513366242222611 6 6163 1100000 1 0 0 0 0 0 1 0 0 0 012244 244443244444213344 44112 4 4 33 3 4 2 3224 166111110252001000 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 4331262 11221101000010000000000122221 4 3 43 443300010000000000001
  5504033.61037182807922361.4669222831726074   2.85665464401245115532116324211431 5 5431 1100000 1 0 0 0 0 1 1 0 0 0 012624 365552222222233331 34113 4 6 23 3 3 3 1244 466000010243000100 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 6231212 32443400000100100010000021112 2 2 22 211200000000000000000
  5622032.55173373222351071.7593553066253662  1.924140691757202111312265226361341 5 5351 1100000 0 0 1 0 0 0 0 0 0 0 155655 165553333333433234 44111 4 4 32 3 3 2 3334 126000110152000100 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1311111 12622110000000100000000122222 4 3 34 343400000000000000000
  568212 5.8328266143798831.2567142248153687   3.82775664329528851321163462261341 6 6342 1100000 1 0 0 0 0 0 0 0 0 0 115555 155553333434444324 44111 4 3 33 4 3 2 1224 566000110162001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 3111361 11646300000100100000000132324 4 4 44 444400000000000000000
  5773132.0301694869995117 9.107002258300781  -.493741452693939211421165236221141 6 6262 1100000 1 0 0 0 0 0 0 0 0 0 111633 144433421433434344 44113 4 4 13 2 2 2 1214 666001000262000100 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 6412661 22241100000100100000000121112 4 3 44 332400000000000000000
  585212  6.84362268447876 5.521001815795898  1.650249838829040511421166226241621 5 5151 1001000 0 1 0 0 1 0 0 1 0 0 022336 111651233344213131 12112 4 2 33 3 3 3 2251 166000010242000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 6411161 12121510000000100000000132112 4 3 33 444400000000000000000
  591312 2.801574945449829 4.672698974609375  1.862962722778320311513366221422411 4 3441 2010000 0 0 0 0 1 0 0 0 0 0 111666 266661211444113224 41222 4 4 13 3 3 2 1211 116001100252000100 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 6431362 21221100000111000000000133333 2 2 22 241300000000000000000
  593301 5.438820838928223 5.102856159210205   1.82965934276580813321265213232331 4 4244 2100000 1 0 0 0 0 1 0 1 0 0 033314 663322311333423222 12313 2 4 13 3 3 2 2251 665000100232001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6311661 22221210000000100000000122333 4 1 23 431400000000000000000
  594212 5.0199561119079592.2811872959136963   2.60255336761474612421115126323521 3 3232 1100000 0 1 0 0 1 0 0 0 0 0 124625 545552311433123243 53111 1 4 32 3 3 2 1264 126000010222001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1212661 22221300000111000000000121221 4 4 44 444400000000000000000
  595202 6.732532501220703 2.205733060836792   4.25721883773803711413365326251431 6 6261 1100000 0 1 0 0 0 0 1 0 0 0 022323 263333334443323123 33111 2 4 23 3 4 2 2264 561100100262000100 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2311261 12541200000111000000000132221 4 3 44 333400000000000000000
  597202  1.45755136013031 .4992503523826599 -1.233297467231750522322265216331131 5 5252 4100000 1 0 0 0 0 1 0 0 0 0 012626 662451111331222121 42312 4 6 13 3 3 3 3221 126000010243010000 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 6311111 21431200000110100000000132432 3 3 33 343300000000000000000
  609203 5.741714000701904   1.6467205286026   3.16195201873779311312265226242341 5 5351 1010000 0 0 0 1 1 0 0 1 0 0 033333 263334334115544111 32133 5 3 12 3 2 3 2254 461010100253000100 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 6411261 11631100000111000000000133322 4 3 44 332400000000000000000
  634212 5.1049332618713381.5768927335739136   4.33227252960205121421165145462631 5 4231 1100000 0 0 0 0 1 0 0 0 0 0 155613 244443233434444344 44333 4 3 13 3 2 2 2223 466000110252000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 2232661 22436600100000000110000032334 4 3 44 332200000000000000000
  638202 4.7010889053344731.3954130411148071   2.62507510185241711313165226322131 2 2221 4100000 0 0 1 1 1 1 0 0 0 0 044444 444443432443444334 44111 1 6 33 4 3 2 3255 566111110222001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6311111 13622100000100100000000122322 4 4 44 443400000000000000000
  640312 9.904417037963867 7.088278293609619  1.762667775154113811321165461312231 5 5153 1010000 0 1 0 0 0 0 0 1 0 0 022122 222343333332233344 44111 2 4 13 3 2 3 3224 431000001242001000 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2241661 43223500000100100000000122222 2 2 22 222200010000000000001
  641202 5.008363723754883 22.50010108947754   2.36320352554321311312265126131141 2 2121 3100000 0 0 0 1 0 0 1 1 0 0 022255 552551123342424134 52113 4 6 13 3 3 3 1344 311001000223001000 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 6312662 12321100000100100000000131332 4 3 43 343300000000000000000
  65020216.423803329467773 9.306413650512695   4.22237586975097712421116216663232 4 5313 3010000 0 1 0 0 0 0 0 0 0 0 111333 665553322223332112 32333 2 4 32 3 1 3 2361 661000100233000100 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1311661 13421200000100100000000122323 2 2 22 211200011000000000000
  6512033.17327022552490231.7738454341888428   2.31551170349121112412265226642441 4 4442 2100000 0 1 1 0 1 0 1 0 0 0 011444 565553334444434444 44113 4 4 14 3 2 2 1214 566111110233000100 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 6331111 31631200000100100010000011213 4 3 43 331200000000000000000
  658303   4.94100809097291.3658554553985596   2.06197857856750521211165222111241 6 5451 3100000 0 0 0 0 1 0 0 0 0 0 144444 464334344443344344 42111 2 4 13 4 3 2 1213 666001000253001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2311361 11521200000111010000000122223 4 3 43 333400000000000000000
